Setting,MSE,MAE
lt_electricity_336_96iTransformer_iTransformer_custom_ftM_sl720_ll168_pl96_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um0_0,0.13421346247196198,0.23534661531448364
lt_electricity_336_192iTransformer_iTransformer_custom_ftM_sl720_ll168_pl192_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um0_0,0.1535039246082306,0.2521597146987915
lt_electricity_336_336iTransformer_iTransformer_custom_ftM_sl720_ll168_pl336_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um0_0,0.1612798571586609,0.262344628572464
lt_electricity_336_720iTransformer_iTransformer_custom_ftM_sl720_ll168_pl720_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um0_0,0.18280896544456482,0.28603440523147583
lt_traffic_336_96iTransformer_iTransformer_custom_ftM_sl720_ll168_pl96_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um0_0,0.7460511326789856,0.5091784000396729
lt_traffic_336_192iTransformer_iTransformer_custom_ftM_sl720_ll168_pl192_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um0_0,0.7932610511779785,0.5324501395225525
lt_traffic_336_336iTransformer_iTransformer_custom_ftM_sl720_ll168_pl336_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um0_0,0.9516817331314087,0.6076305508613586
lt_traffic_336_720iTransformer_iTransformer_custom_ftM_sl720_ll168_pl720_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um0_0,0.897573709487915,0.5892906785011292
lt_weather_336_96iTransformer_iTransformer_custom_ftM_sl720_ll168_pl96_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um0_0,0.16818562150001526,0.23119467496871948
lt_weather_336_192iTransformer_iTransformer_custom_ftM_sl720_ll168_pl192_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um0_0,0.2053811401128769,0.26321834325790405
