Setting,MSE,MAE
lt_electricity_720_96iTransformer_iTransformer_custom_ftM_sl720_ll168_pl96_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.1_0,0.12862499058246613,0.22506903111934662
lt_electricity_720_192iTransformer_iTransformer_custom_ftM_sl720_ll168_pl192_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.1_0,0.1489952951669693,0.24613231420516968
lt_electricity_720_336iTransformer_iTransformer_custom_ftM_sl720_ll168_pl336_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.1_0,0.15858572721481323,0.2591460347175598
lt_electricity_720_720iTransformer_iTransformer_custom_ftM_sl720_ll168_pl720_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.1_0,0.1772114634513855,0.27595171332359314
lt_traffic_720_96iTransformer_iTransformer_custom_ftM_sl720_ll168_pl96_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.1_0,0.3616437613964081,0.26201289892196655
lt_traffic_720_192iTransformer_iTransformer_custom_ftM_sl720_ll168_pl192_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.1_0,0.3704358637332916,0.26847392320632935
lt_traffic_720_336iTransformer_iTransformer_custom_ftM_sl720_ll168_pl336_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.1_0,0.3927658796310425,0.2789701521396637
lt_traffic_720_720iTransformer_iTransformer_custom_ftM_sl720_ll168_pl720_dm512_nh8_el4_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.1_0,0.42877110838890076,0.29849159717559814
lt_weather_720_96iTransformer_iTransformer_custom_ftM_sl720_ll168_pl96_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.1_0,0.16483627259731293,0.21988511085510254
lt_weather_720_192iTransformer_iTransformer_custom_ftM_sl720_ll168_pl192_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.1_0,0.20595690608024597,0.25602594017982483
lt_weather_720_336iTransformer_iTransformer_custom_ftM_sl720_ll168_pl336_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.1_0,0.2534167468547821,0.2923077940940857
lt_weather_720_720iTransformer_iTransformer_custom_ftM_sl720_ll168_pl720_dm512_nh8_el3_dl1_df512_fc3_ebtimeF_dtTrue_Exp_tn1_stl0.0001_um1_al0.1_0,0.31667637825012207,0.33721718192100525
